"";"Phrasal_verb";"Meaning"
"1";"abide by";"to accept and act according to a law, an agreement, etc."
"2";"accede to";"agree to do what people have asked you to do"
"3";"account for";"be the reason why something exists or happens"
"4";"act up";"(of a thing) fail to function properly"
"5";"adhere to sth";"continue to behave according to a particular rule or belief"
"6";"amount to sth";"add up to something, to make something as a total"
"7";"answer for";"accept responsibility or blame for something"
"8";"arrive at sth";"decide on or find something, especially after discussion and thought"
"9";"ascribe sth to sb";"refer to a supposed cause, source, or author"
"10";"ask sb out";"invite somebody to something, such as dinner or a date"
"11";"attacking";"strike at | jump at | fly at"
"12";"attribute sth to";"believe or say that a situation or event is caused by something"
"13";"back down";"admit that you are wrong or that you have lost an argument"
"14";"bank on";"depend on something happening or someone doing something"
"15";"bargain for";"expect something to happen and be prepared for it"
"16";"barge in";"walk into a room quickly, without being invited"
"17";"be done in";"be very tired, exhausted"
"18";"be out of your element";"be in a situation that makes you uncomfortable"
"19";"be tied up in";"be invested so that it is not easily available for use"
"20";"bear out";"show that something is true or that someone is telling the truth"
"21";"beliefs";"abide by | stick to | live by"
"22";"blackout";"a period of darkness caused by a failure of the electricity supply"
"23";"blend in with";"look or seem the same as surrounding people or things"
"24";"boil down to";"(of a situation etc.) to have sth as a main or basic part"
"25";"break-in";"<U+200B>an entry into a building using force, usually to steal something"
"26";"break in";"enter a building by using force, in order to steal something"
"27";"break out in";"suddenly be affected by a problem on your skin"
"28";"breakthrough";"an important development that may lead to an achievement"
"29";"bring down";"make somebody lose power or be defeated"
"30";"bring forward => move sth to an earlier date";"put back => move something to a later date"
"31";"bring on";"be the cause of something bad, especially an illness"
"32";"bring the house down";"<U+200B>make an audience laugh or applaud very enthusiastically"
"33";"bring/take sb down a peg or two";"show someone that they are not as important as they thought"
"34";"bucket down";"rain heavily"
"35";"bump into";"meet someone who you know, when you were not expecting to"
"36";"bypass";"a road that passes around a city rather than through the centre"
"37";"capitalize on";"use an event or a situation to help you to achieve something"
"38";"catch on";"become popular or fashionable"
"39";"catch/throw somebody off guard";"surprise someone, find someone unprepared"
"40";"clamp down on";"take strict action in order to prevent sth, especially crime"
"41";"clear up";"a mystery | a place | crime"
"42";"clothes";"tart yourself up | peel off | wrap up"
"43";"come across";"meet, find, or discover someone or something by chance"
"44";"come back/down to earth";"stop behaving or living in a way that is not practical"
"45";"come by";"manage to get something that is rare or difficult to get"
"46";"come down to";"be the most important aspect of a situation or problem"
"47";"come down with => get an illness";"<U+200B><U+200B>get over => become well again after an illness"
"48";"come in for";"be criticized, blamed etc for something"
"49";"come in for";"criticism | blame | scrutiny"
"50";"come up against";"a problem | difficulties | opposition"
"51";"come up with sth";"<U+200B>produce or provide something that people want"
"52";"conjure up";"make something appear as a picture in your mind"
"53";"conjure up";"images | pictures | thoughts"
"54";"consist in";"be based on or depend on something"
"55";"consist of";"be formed from the people or things mentioned"
"56";"contend with";"have to deal with something difficult or unpleasant"
"57";"continue";"bash on | jog along | soldier on"
"58";"cotton on";"begin to understand a situation or fact"
"59";"crack down => clamp down";"start dealing with someone or something much more strictly"
"60";"crack down on";"traffic offences | drug smuggling | terrorism"
"61";"crackdown";"<U+200B>severe action taken to limit the activities of criminals"
"62";"crop up";"appear or happen, especially when it is not expected"
"63";"chicken out => bottle out";"suddenly decide not to do something because you are frightened"
"64";"churn out";"produce something in large quantities quickly and often carelessly"
"65";"dawn on sb";"begin to be understood or realized by sb for the first time"
"66";"deprive of";"prevent sb from having sth, especially something important"
"67";"derive from";"develop or come from something else"
"68";"descend to";"do something that makes people stop respecting you"
"69";"detract from";"<U+200B>make something seem less good"
"70";"deviate from";"start doing something different from what is expected or agreed"
"71";"die down";"become gradually less strong, loud, easy to notice, etc."
"72";"dislike";"frown upon | shudder at | look down on"
"73";"dispense with";"stop using sb or sth because you no longer need them or it"
"74";"dispose of";"get rid of something; throw out or destroy"
"75";"downturn";"a time when the economy becomes weaker"
"76";"doze off";"start to sleep, especially during the day and without intending to"
"77";"doze off => drift off";"go to sleep, especially when you did not intend to"
"78";"draw up";"prepare and write something such as a document or plan"
"79";"drawback";"a feature of something that makes it less useful than it could be"
"80";"dredge up";"mention sth that has been forgotten, especially sth unpleasant"
"81";"drink in";"experience something with great enjoyment"
"82";"drinking";"choke down | sip at/on | polish off"
"83";"driving";"conk out | write off | run over"
"84";"drop by";"pay an informal visit to a person or a place"
"85";"drop out => no longer take part in something";"go in for => do sth regularly, or to enjoy sth"
"86";"drop out of";"<U+200B>leave school, college, etc. without finishing your studies"
"87";"dropout";"someone who leaves school or college before they have finished"
"88";"dwell on/upon";"think or talk for too long about sth, especially sth unpleasant"
"89";"eat into";"gradually reduce the amount of time, money etc. that is available"
"90";"egg sb on";"encourage someone to do something that they should not do"
"91";"eke out";"get just enough money or food to be able to continue to exist"
"92";"eke out";"a living | an existence | a win"
"93";"emanate from";"come out of or be produced by something or someone"
"94";"end up";"be in a particular place after doing sth or because of doing it"
"95";"end up => wind up";"(of a person) to find yourself in a particular place or situation"
"96";"expectations";"live up to | measure up to | come up to"
"97";"face up to";"accept and deal with something that is difficult or unpleasant"
"98";"fall about";"laugh without being able to stop"
"99";"fall for";"be tricked into believing something that is not true"
"100";"fall off";"decrease in quantity or quality"
"101";"falling asleep";"nod off | doze off | drop off"
"102";"feel up to";"have the strength and energy to do or deal with something"
"103";"fend for yourself";"look after yourself without needing help from other people"
"104";"fire away";"used to tell somebody to begin to speak or ask a question"
"105";"fish for sth";"try to get sth, such as praise or attention in an indirect way"
"106";"fizzle out";"gradually become less successful and end in a disappointing way"
"107";"flood into";"move quickly into some place or thing in large numbers"
"108";"fob sb off";"put off with a trick, excuse, or inferior substitute"
"109";"following";"come after | go after | run after"
"110";"frown on/upon";"disapprove of something"
"111";"fuss over sb";"pay a lot of attention to someone in a nervous or excited way"
"112";"get down to";"begin to do or give serious attention to"
"113";"get on for";"move toward becoming (a specified age, time, etc.)"
"114";"get up to";"do something, especially something slightly bad"
"115";"gloss over sth";"avoid talking about something unpleasant"
"116";"go-ahead";"permission for somebody to start doing something"
"117";"go back on";"not do something that you promised or agreed to do"
"118";"go back on";"on your word | promise | decision"
"119";"go off at the deep end";"suddenly become very angry or emotional"
"120";"grow on";"become gradually more appealing to someone"
"121";"grow out of";"become too tall or too big to wear or use something"
"122";"give up the ghost";"die, (of a machine) stop working"
"123";"hail from sth";"have been born in a particular place"
"124";"hand down";"give or leave something to somebody who is younger than you"
"125";"handover";"the process of giving responsibility for something to someone else"
"126";"hanker after";"have a strong desire for something"
"127";"harp on";"talk or complain about something many times"
"128";"have it in for sb";"be determined to criticize or harm someone"
"129";"have sb on";"try to make sb believe sth that is not true, usually as a joke"
"130";"hear from sb";"<U+200B>receive a letter, email, phone call, etc. from somebody"
"131";"hinge on/upon";"depend on something"
"132";"hit it off";"have a good friendly relationship with somebody"
"133";"hit out => lash out";"hit or kick out at someone or something"
"134";"hold-up";"a robbery conducted with the use of threats or violence"
"135";"hold off";"(of rain or a storm) to not start"
"136";"hold on to => not give or sell sth to sb else";"part with => give up possession or control of sth"
"137";"hold out";"offer a chance, hope or possibility of something"
"138";"hold out";"hope | the promise | the prospect"
"139";"hold up sth";"<U+200B>steal from a bank, shop, etc. using a gun"
"140";"inlet";"a small arm of the sea, a lake, or a river"
"141";"intake";"an amount of food, air, or another substance taken into the body"
"142";"jot sth down";"write a short piece of information quickly"
"143";"jump at sth";"take an opportunity that is offered to you in a very enthusiastic way"
"144";"keep up with the Joneses";"maintain the same lifestyle as one's neighbors"
"145";"kick-off";"the start of a game of football (soccer)"
"146";"knock-off";"a bad or cheap copy of something"
"147";"knock off";"stop doing something, especially work"
"148";"lay-off";"stop employing someone because there is no work for them to do"
"149";"lay sb off";"stop employing sb because there is not enough work for them to do"
"150";"lay sth in";"collect and store something to use in the future"
"151";"leave";"slope off | dash off | nip out"
"152";"lend itself to";"be suitable for something"
"153";"let sb in on";"tell something that is secret or only known by a few people"
"154";"let sth out";"<U+200B>make a shirt, coat, etc. looser or larger"
"155";"level with sb";"tell someone the truth about something"
"156";"like";"endear to | fall for | revel in"
"157";"live off sth";"(the land) live by growing or finding their own food"
"158";"live up to";"be as good as what was expected or promised"
"159";"live up to";"expectations | standards | reputation"
"160";"live with sth";"accept something unpleasant"
"161";"liven up";"become more exciting, or to make an event become more exciting"
"162";"lockdown";"an official order to control the movement of people or vehicles"
"163";"look down on";"think that you are better than somebody"
"164";"make for";"go in the direction of a particular place"
"165";"make off";"leave hurriedly, especially in order to avoid duty or punishment"
"166";"mope about";"spend time walking around a place with no particular purpose"
"167";"mull sth over";"spend time thinking carefully about a plan or proposal"
"168";"nod off";"go to sleep, especially when you do not intend to"
"169";"nose around";"try to find out information about someone or something"
"170";"not be cut out for";"not be the right type of person for something"
"171";"notch sth up";"achieve sth, especially a victory or a particular total or score"
"172";"occur to sb";"<U+200B>(of an idea or a thought) to come into your mind"
"173";"onset";"<U+200B>the beginning of something, especially something unpleasant"
"174";"opt out of";"decide not to be part of a group or system"
"175";"outbreak";"the sudden start of war, disease or violence"
"176";"outcry";"an angry protest by a lot of ordinary people"
"177";"outgoings";"the money that you have to spend regularly"
"178";"outlet";"a way of expressing or making good use of strong feelings"
"179";"own up to";"admit to having done something wrong or embarrassing"
"180";"part with";"give something to someone else, although you do not want to"
"181";"pay off";"to be successful and bring good results"
"182";"persuading";"press into | talk into | push into"
"183";"pick on sb";"treat somebody unfairly, by blaming, criticizing or punishing them"
"184";"pile-up";"a traffic accident involving many vehicles"
"185";"pin sb down";"force someone to make a decision about something"
"186";"pin sb down";"make someone provide details about something"
"187";"play sth down";"try to make something seem less important than it really is"
"188";"play with";"try doing something in different ways to decide what works best"
"189";"prey on/upon";"try to deceive or harm weaker people"
"190";"problems";"grapple with | hedge against | run up against"
"191";"pull sth down";"destroy something or make it stop existing"
"192";"pull sth off";"succeed in doing something that is difficult"
"193";"pull through";"stay alive after you have been very ill or badly injured"
"194";"put together => make sth by joining all its parts";"take apart => separate an object into pieces"
"195";"put the wind up";"<U+200B>make someone afraid or nervous"
"196";"phase out";"stop using something gradually in stages over a period of time"
"197";"rake in";"earn a lot of money without trying very hard"
